Entry Number,Entry Date,Port of Entry,HTS Number,Chapter 99 HTS,Entered Value (USD),Duty Rate,Duties Paid (USD),Liquidation Date,Ultimate Consignee,Importer of Record
KJ7-4408810-0,2025-02-12,3004 Blaine WA,9403.40.9060,9903.01.10,91000,0.25,22750.0,2025-12-23,Summit Kitchen Supply Inc,Fraser Valley Cabinetry Ltd
KJ7-4408811-9,2025-03-01,3004 Blaine WA,9403.40.9060,9903.01.10,73500,0.25,18375.0,2026-01-09,Summit Kitchen Supply Inc,Fraser Valley Cabinetry Ltd
KJ7-4408812-6,2025-03-12,3004 Blaine WA,9403.40.9060,9903.01.10,42000,0.25,10500.0,2026-01-20,Pacific Home Products LLC,Fraser Valley Cabinetry Ltd
KJ7-4408813-6,2025-03-21,3004 Blaine WA,9403.40.9060,9903.01.10,120000,0.25,30000.0,2026-01-29,Summit Kitchen Supply Inc,Fraser Valley Cabinetry Ltd
KJ7-4408814-9,2025-04-09,3004 Blaine WA,9403.40.9060,9903.01.10,58000,0.25,14500.0,2026-02-17,Summit Kitchen Supply Inc,Fraser Valley Cabinetry Ltd
KJ7-4408815-3,2025-04-20,3004 Blaine WA,9403.40.9060,9903.01.10,42000,0.25,10500.0,2026-02-28,Summit Kitchen Supply Inc,Fraser Valley Cabinetry Ltd
KJ7-4408816-6,2025-05-03,3004 Blaine WA,9403.40.9060,9903.01.10,73500,0.25,18375.0,2026-03-13,Summit Kitchen Supply Inc,Fraser Valley Cabinetry Ltd
KJ7-4408817-8,2025-05-16,3004 Blaine WA,7610.10.0030,9903.81.90,73500,0.50,36750.0,2026-03-26,Summit Kitchen Supply Inc,Fraser Valley Cabinetry Ltd
KJ7-4408818-3,2025-05-25,3004 Blaine WA,9403.40.9060,9903.01.10,146000,0.25,36500.0,2026-04-04,Pacific Home Products LLC,Fraser Valley Cabinetry Ltd
KJ7-4408819-9,2025-06-07,3004 Blaine WA,9403.40.9060,9903.01.10,42000,0.25,10500.0,2026-04-17,Summit Kitchen Supply Inc,Fraser Valley Cabinetry Ltd
KJ7-4408820-8,2025-06-24,3004 Blaine WA,9403.40.9060,9903.01.10,146000,0.25,36500.0,2026-05-04,Pacific Home Products LLC,Fraser Valley Cabinetry Ltd
KJ7-4408821-7,2025-07-09,3004 Blaine WA,9403.40.9060,9903.01.10,120000,0.25,30000.0,2026-05-19,Pacific Home Products LLC,Fraser Valley Cabinetry Ltd
KJ7-4408822-3,2025-07-18,3004 Blaine WA,9403.40.9060,9903.01.10,58000,0.25,14500.0,2026-05-28,Summit Kitchen Supply Inc,Fraser Valley Cabinetry Ltd
KJ7-4408823-5,2025-08-02,3004 Blaine WA,9403.40.9060,9903.01.10,91000,0.35,31850.0,2026-06-12,Pacific Home Products LLC,Fraser Valley Cabinetry Ltd
KJ7-4408824-1,2025-08-13,3004 Blaine WA,9403.40.9060,9903.01.10,42000,0.35,14700.0,2026-06-23,Pacific Home Products LLC,Fraser Valley Cabinetry Ltd
KJ7-4408825-7,2025-08-25,3004 Blaine WA,9403.40.9060,9903.01.10,58000,0.35,20300.0,2026-07-05,Pacific Home Products LLC,Fraser Valley Cabinetry Ltd
KJ7-4408826-8,2025-09-06,3004 Blaine WA,9403.40.9060,9903.01.10,42000,0.35,14700.0,2026-07-17,Pacific Home Products LLC,Fraser Valley Cabinetry Ltd
KJ7-4408827-7,2025-09-21,3004 Blaine WA,9403.40.9060,9903.01.10,120000,0.35,42000.0,2026-08-01,Pacific Home Products LLC,Fraser Valley Cabinetry Ltd
KJ7-4408828-7,2025-10-02,3004 Blaine WA,9403.40.9060,9903.01.10,73500,0.35,25725.0,2026-08-12,Summit Kitchen Supply Inc,Fraser Valley Cabinetry Ltd
KJ7-4408829-9,2025-10-15,3004 Blaine WA,9403.40.9060,9903.01.10,73500,0.35,25725.0,2026-08-25,Pacific Home Products LLC,Fraser Valley Cabinetry Ltd
KJ7-4408830-5,2025-10-30,3004 Blaine WA,9403.40.9060,9903.01.10,146000,0.35,51100.0,2026-09-09,Summit Kitchen Supply Inc,Fraser Valley Cabinetry Ltd
KJ7-4408831-1,2025-11-13,3004 Blaine WA,9403.40.9060,9903.01.10,120000,0.35,42000.0,,Pacific Home Products LLC,Fraser Valley Cabinetry Ltd
KJ7-4408832-2,2025-11-23,3004 Blaine WA,9403.40.9060,9903.01.10,73500,0.35,25725.0,,Summit Kitchen Supply Inc,Fraser Valley Cabinetry Ltd
KJ7-4408833-1,2025-12-09,3004 Blaine WA,9403.40.9060,9903.01.10,91000,0.35,31850.0,,Summit Kitchen Supply Inc,Fraser Valley Cabinetry Ltd
KJ7-4408834-2,2025-12-22,3004 Blaine WA,9403.40.9060,9903.01.10,73500,0.35,25725.0,,Pacific Home Products LLC,Fraser Valley Cabinetry Ltd
KJ7-4408835-6,2026-01-07,3004 Blaine WA,9403.40.9060,9903.01.10,146000,0.35,51100.0,,Pacific Home Products LLC,Fraser Valley Cabinetry Ltd
KJ7-4408836-2,2026-01-19,3004 Blaine WA,9403.40.9060,9903.01.10,58000,0.35,20300.0,,Summit Kitchen Supply Inc,Fraser Valley Cabinetry Ltd
KJ7-4408837-3,2026-01-28,3004 Blaine WA,9403.40.9060,9903.01.10,146000,0.35,51100.0,,Summit Kitchen Supply Inc,Fraser Valley Cabinetry Ltd
