score,company,bucket,region,province,city,sector,source,mentions,hook,url,website,contact,phone,stage,scanned
43.0,"DNA Enterprises, Inc.",B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74752226/dna-enterprises-inc-v-united-states-of-america/,,,,Lead,2026-09-14
43.0,Titan Wheel Corporation of Illinois,B/large,US,,,other,CIT,2,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation. / Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74751726/titan-wheel-corporation-of-illinois-v-united-states/,,,,Lead,2026-09-14
43.0,Suunto USA Inc.,B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74751627/suunto-usa-inc-v-commissioner-rodney-s-scott/,,,,Lead,2026-09-14
43.0,"Porky Products, Inc.",B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74751506/porky-products-inc-v-united-states/,,,,Lead,2026-09-14
43.0,EIS Inc.,B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74751194/eis-inc-v-united-states/,,,,Lead,2026-09-14
43.0,Alpine Corporation,B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74751023/alpine-corporation-v-united-states/,,,,Lead,2026-09-14
43.0,Sanmina Corporation,B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74750960/sanmina-corporation-v-united-states/,,,,Lead,2026-09-14
43.0,Bishop-Wisecarver Corporation,B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74750858/bishop-wisecarver-corporation-v-united-states-of-america/,,,,Lead,2026-09-14
43.0,Chemtrade Solutions LLC,B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74750685/chemtrade-solutions-llc-v-united-states/,,,,Lead,2026-09-14
43.0,Gelprime USA LLC,B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74750634/gelprime-usa-llc-v-united-states-of-america/,,,,Lead,2026-09-14
43.0,"Earth & Sea Wear, Inc.",B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74750438/earth-sea-wear-inc-v-united-states/,,,,Lead,2026-09-14
43.0,"TRADEMANGO SOLUTIONS, INC.",B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74750352/trademango-solutions-inc-v-united-states/,,,,Lead,2026-09-14
43.0,Cynosure LLC,B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74750238/cynosure-llc-v-us-customs-and-border-protection/,,,,Lead,2026-09-14
